Epoch	layer1_Baseline	layer1_LCM	layer2_Baseline	layer2_LCM	layer3_Baseline	layer3_LCM	layer4_Baseline	layer4_LCM
1	-124063.31	-169425.92	-28438.81	-74979.29	5844.45	-35145.28	-42672.79	-52071.97
2	-124204.24	-153523.29	-28440.81	-63957.92	5854.71	-28813.34	-42691.86	-46533.29
3	-124169.01	-143398.82	-28450.84	-56023.13	5847.16	-23951.29	-42688.95	-43798.00
4	-124154.45	-136957.56	-28446.58	-50312.74	5853.67	-20207.98	-42684.08	-42569.05
5	-124219.00	-132589.77	-28456.52	-46074.44	5850.14	-17244.73	-42689.39	-41948.90
6	-124211.97	-129408.38	-28456.58	-42825.07	5833.53	-14865.71	-42698.43	-41616.45
7	-124123.35	-126995.41	-28449.41	-40280.66	5848.22	-12844.96	-42694.78	-41435.85
8	-124249.30	-125331.89	-28461.03	-38258.56	5847.73	-11154.78	-42685.18	-41285.77
9	-124258.67	-123920.22	-28476.55	-36627.54	5834.42	-9713.23	-42684.70	-41206.94
10	-124174.30	-122755.80	-28456.89	-35273.47	5855.54	-8452.86	-42686.04	-41153.84
11	-124068.25	-121816.98	-28422.17	-34142.78	5848.98	-7358.04	-42689.40	-41130.20
12	-124300.79	-121271.73	-28482.17	-33252.20	5855.44	-6384.77	-42683.15	-41092.48
13	-124265.92	-120661.34	-28474.80	-32461.40	5856.38	-5519.98	-42672.11	-41058.91
14	-124260.61	-120165.72	-28485.17	-31817.49	5834.87	-4761.10	-42687.67	-41076.25
15	-124240.15	-119659.31	-28460.03	-31216.98	5855.11	-4054.77	-42683.93	-41044.91
16	-124268.71	-119387.84	-28489.34	-30765.30	5831.71	-3431.87	-42689.86	-41046.09
17	-124319.32	-119064.08	-28467.60	-30329.12	5833.16	-2861.81	-42683.07	-41028.14
18	-124272.93	-118815.24	-28489.49	-29985.29	5840.24	-2341.00	-42673.27	-41019.63
19	-124185.18	-118453.07	-28461.46	-29648.16	5844.58	-1856.42	-42669.26	-41000.72
20	-124134.04	-118219.81	-28469.00	-29384.37	5835.62	-1418.62	-42691.12	-41019.90
21	-124223.42	-118164.59	-28458.34	-29133.65	5853.83	-1007.13	-42699.78	-41037.75
22	-124380.87	-118077.47	-28502.68	-28958.28	5833.47	-640.98	-42682.04	-41006.29
23	-124193.60	-117857.31	-28449.57	-28730.53	5859.37	-280.63	-42687.28	-41008.94
24	-124179.28	-117666.03	-28459.15	-28574.36	5839.36	30.17	-42677.48	-40993.23
25	-124170.69	-117503.79	-28453.80	-28427.06	5849.31	332.92	-42686.58	-40994.06
26	-124293.30	-117486.36	-28483.42	-28326.19	5831.22	603.52	-42676.28	-40987.02
27	-124146.09	-117312.75	-28446.57	-28179.93	5855.64	877.57	-42681.73	-40993.95
28	-124121.73	-117146.40	-28434.13	-28059.85	5854.57	1123.28	-42680.06	-40980.36
29	-124154.64	-117101.73	-28444.76	-27976.79	5854.08	1345.32	-42677.06	-40979.39
30	-124122.16	-117025.47	-28452.09	-27914.89	5838.05	1560.76	-42701.99	-41009.63
31	-124170.58	-117012.14	-28460.36	-27836.57	5835.54	1762.24	-42683.79	-40978.34
32	-124258.81	-116987.92	-28482.28	-27800.69	5848.57	1949.38	-42674.47	-40972.21
33	-124223.93	-116916.65	-28458.89	-27717.82	5850.96	2138.14	-42684.06	-40984.36
34	-124058.48	-116691.95	-28421.56	-27626.14	5855.87	2310.88	-42683.24	-40984.17
35	-124166.19	-116717.49	-28464.87	-27616.21	5840.81	2472.16	-42691.09	-40979.78
36	-124330.60	-116831.79	-28489.79	-27599.19	5835.00	2616.62	-42683.99	-40980.61
37	-124278.20	-116724.86	-28482.63	-27546.24	5834.19	2760.67	-42667.36	-40956.95
38	-124062.78	-116523.67	-28405.36	-27439.61	5877.25	2922.29	-42700.41	-40988.83
39	-124259.67	-116655.41	-28465.72	-27462.43	5847.77	3040.87	-42700.78	-40989.32
40	-124087.80	-116395.73	-28422.44	-27385.83	5856.98	3164.80	-42667.81	-40949.24
41	-124249.55	-116513.07	-28464.23	-27409.17	5834.22	3266.19	-42695.96	-40981.92
42	-124255.26	-116498.80	-28470.99	-27377.62	5847.74	3388.42	-42676.11	-40947.71
43	-124211.76	-116405.53	-28468.20	-27355.98	5852.80	3499.72	-42689.36	-40963.02
44	-124251.09	-116433.18	-28461.62	-27332.68	5844.32	3594.97	-42676.43	-40952.46
45	-124044.41	-116186.91	-28408.56	-27257.28	5856.02	3694.58	-42694.88	-40968.38
46	-123953.53	-115988.42	-28395.02	-27218.78	5857.42	3801.24	-42699.25	-40963.24
47	-124069.79	-116124.29	-28421.63	-27234.16	5863.18	3885.92	-42683.28	-40951.54
48	-124425.90	-116426.05	-28495.18	-27288.99	5858.34	3964.12	-42679.19	-40946.33
49	-124137.84	-116148.73	-28452.73	-27232.82	5828.97	4031.51	-42689.19	-40950.36
50	-124213.15	-116195.93	-28478.17	-27249.80	5823.32	4101.84	-42692.86	-40955.04
51	-124177.97	-116061.62	-28441.88	-27193.86	5870.42	4206.60	-42677.35	-40936.83
52	-124266.99	-116148.57	-28485.51	-27222.59	5844.41	4263.57	-42670.41	-40921.98
53	-124254.57	-116160.27	-28486.29	-27220.81	5823.38	4314.54	-42678.97	-40940.52
54	-124275.54	-116113.29	-28486.15	-27207.80	5837.52	4390.89	-42693.57	-40951.75
55	-124111.75	-115951.26	-28443.43	-27153.44	5846.20	4459.80	-42673.04	-40929.38
56	-124193.89	-115975.09	-28447.33	-27152.75	5853.56	4526.09	-42679.65	-40938.32
57	-124255.26	-116037.45	-28465.70	-27160.19	5848.60	4581.40	-42677.63	-40925.83
58	-124221.17	-115910.32	-28446.31	-27130.90	5854.72	4645.39	-42682.70	-40936.52
59	-124185.74	-115945.14	-28451.73	-27128.11	5846.96	4691.29	-42687.69	-40936.43
60	-124358.72	-116068.27	-28495.21	-27163.71	5826.27	4728.37	-42699.20	-40947.71
61	-124166.38	-115853.29	-28462.75	-27121.73	5844.38	4794.52	-42680.23	-40922.89
62	-124198.69	-115913.68	-28461.97	-27115.17	5849.98	4847.67	-42667.38	-40916.76
63	-124151.28	-115799.12	-28452.99	-27111.52	5843.20	4881.48	-42679.23	-40926.83
64	-124226.16	-115835.04	-28475.80	-27118.21	5843.51	4931.95	-42666.32	-40904.16
65	-124226.91	-115799.52	-28472.29	-27110.55	5840.11	4973.95	-42675.48	-40915.78
66	-124316.48	-115912.23	-28479.27	-27112.07	5856.07	5028.14	-42679.52	-40924.49
67	-124296.06	-115873.41	-28476.66	-27105.01	5849.19	5069.34	-42691.94	-40945.88
68	-124171.97	-115689.62	-28456.14	-27077.81	5855.50	5107.72	-42684.23	-40923.71
69	-124205.85	-115731.57	-28450.00	-27069.45	5850.50	5142.91	-42680.89	-40915.67
70	-124289.14	-115743.49	-28460.62	-27070.03	5845.74	5179.50	-42684.65	-40927.32
71	-124206.28	-115694.46	-28462.36	-27068.87	5848.06	5215.93	-42684.25	-40916.54
72	-124191.03	-115679.13	-28465.96	-27073.98	5823.72	5233.04	-42687.40	-40923.62
