Epoch	block0_Baseline	block0_LCM	block1_Baseline	block1_LCM	block2_Baseline	block2_LCM	block3_Baseline	block3_LCM	block4_Baseline	block4_LCM	block5_Baseline	block5_LCM	block6_Baseline	block6_LCM	block7_Baseline	block7_LCM	block8_Baseline	block8_LCM	block9_Baseline	block9_LCM	block10_Baseline	block10_LCM	block11_Baseline	block11_LCM
1	1635.24	251.12	1533.64	212.35	1416.56	159.67	1204.21	99.91	974.23	34.42	729.81	-37.21	464.19	-120.17	255.49	-204.28	160.21	-277.29	135.63	-351.10	129.28	-439.30	190.20	-539.03
2	1634.87	644.06	1533.21	597.95	1416.33	537.04	1204.70	466.76	974.24	386.91	729.67	294.17	463.77	179.36	255.23	69.40	159.97	-11.07	135.32	-93.26	129.02	-218.81	190.07	-444.32
3	1634.30	691.24	1532.93	647.19	1416.40	590.61	1204.46	524.39	974.32	447.30	729.73	356.21	463.81	240.45	255.32	130.51	160.16	60.53	135.54	1.32	129.30	-105.60	190.43	-366.19
4	1635.64	721.11	1534.02	681.08	1417.52	628.60	1205.96	564.79	975.53	489.01	730.67	398.00	464.49	278.38	255.79	165.53	160.21	100.21	135.32	54.96	128.69	-35.50	189.85	-304.38
5	1636.07	748.98	1534.27	712.83	1417.58	662.65	1205.63	599.87	975.17	523.58	730.48	431.88	464.13	307.27	255.13	190.65	159.47	128.22	134.60	92.24	127.54	15.67	188.30	-252.99
6	1635.35	776.28	1533.43	742.00	1416.61	693.72	1204.69	631.26	974.26	553.80	729.72	460.86	463.69	329.95	255.10	209.04	160.06	149.44	135.49	119.80	128.87	50.55	189.86	-210.42
7	1636.02	800.13	1534.28	769.15	1417.58	721.80	1205.79	659.06	975.11	579.75	730.51	485.18	464.33	348.96	255.67	223.54	160.09	166.71	135.59	143.37	129.25	87.23	190.20	-172.14
8	1634.43	822.59	1533.16	793.76	1416.60	746.76	1204.86	682.93	974.72	602.42	730.08	505.30	464.03	363.98	255.34	233.86	160.23	178.03	135.71	160.74	129.10	114.63	189.86	-139.17
9	1635.82	843.74	1534.02	816.65	1417.48	769.95	1205.66	704.64	975.06	623.08	730.12	523.49	463.89	376.49	255.19	241.94	159.91	187.43	135.10	174.52	128.44	134.98	189.29	-110.22
10	1635.21	863.17	1533.68	837.39	1417.16	791.52	1205.54	724.92	975.07	641.53	730.19	539.20	464.13	387.53	255.35	248.92	160.12	194.45	135.32	186.71	128.89	154.18	189.91	-84.00
